epoch: 89, loss: 0.029685, val_acc:0.8148, test_acc:0.8657
epoch: 90, loss: 0.028852, val_acc:0.8056, test_acc:0.8611
epoch: 91, loss: 0.028517, val_acc:0.8056, test_acc:0.8333
epoch: 92, loss: 0.027946, val_acc:0.8241, test_acc:0.8611
epoch: 93, loss: 0.027622, val_acc:0.8241, test_acc:0.8889
epoch: 94, loss: 0.028269, val_acc:0.8519, test_acc:0.8889
epoch: 95, loss: 0.028347, val_acc:0.8333, test_acc:0.8704
epoch: 96, loss: 0.028853, val_acc:0.7963, test_acc:0.8565
epoch: 97, loss: 0.027844, val_acc:0.8241, test_acc:0.875
epoch: 98, loss: 0.027724, val_acc:0.8241, test_acc:0.8611
epoch: 99, loss: 0.02727, val_acc:0.8056, test_acc:0.8333
